Country Name,Property Rights,Freedom from Corruption,Fiscal Freedom ,Gov't Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),GDP Growth Rate (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Iceland,90.0,81.05882352941177,72.7319,35.945325000000004,90.825,60.454021734990945,77.06666381923813,87.88,68.75,60.0,1.06,31.8,20.0,36.2515,46.18222620880423,0.32525000000000004,2.32675,3.7765,576.766168447354,92.636
India,52.5,34.13235294117647,78.559591,78.03109492,41.475,61.02518474911005,67.23734414129355,66.19999999999999,35.0,40.0,7.525,30.9,32.8275,9.60646,27.0465,1233.27975,5.6865,8.35275,29928.268813061466,66.6425
Indonesia,30.0,30.990196078431374,83.36640252169975,89.07087412999999,52.075,49.1621643812018,75.27855586542084,76.255,38.75,57.5,2.4975,30.0,25.0,11.76708,19.07425,246.2355,5.87225,5.606,19945.5303074123,25.0415
Iran,10.0,25.598039215686274,80.958775,88.1566578925,60.974999999999994,49.258305581283764,51.14343524016877,45.775,0.0,10.0,19.6,35.0,25.0,7.3500000000000005,19.36125,76.7605,0.35274999999999995,25.66225,3543.83,11.55425
Ireland,88.75,73.95098039215686,73.752475,38.822925,82.125,76.10523674394875,83.48038937506003,87.655,90.0,70.0,1.1725,41.0,12.5,28.044249999999998,45.02077061868526,4.638,1.5215,0.97,21409.35388663426,113.5885
Israel,73.75,59.568627450980394,60.6956,44.05029010639552,70.575,64.61044822647345,81.2379685656656,85.68,81.25,70.0,2.16,48.0,25.75,30.9485,43.151819579335054,7.843500000000001,3.47375,1.79075,10005.904,71.11475
Italy,51.25,40.88725490196079,55.26085,24.0497,73.65,53.22852016224695,81.20869301911671,87.655,83.75,60.0,1.1725,43.0,27.5,43.232749999999996,50.313766418615096,60.272999999999996,-1.0522500000000001,1.9264999999999999,16660.721191845227,127.93074999999999
Jamaica,40.0,35.495098039215684,79.46637774999999,72.0857458125,84.025,73.5331714053948,75.57298668965996,75.125,83.75,52.5,7.4375,25.0,29.1575,23.625,30.418499999999998,2.76875,0.65675,7.823,430.5703349292555,141.28
Japan,80.0,76.94117647058823,68.908375,46.345,81.975,83.53865873513304,86.49019565219655,82.35499999999999,67.5,52.5,1.3225,40.599999999999994,25.1,28.825000000000003,42.285211969539816,127.458,0.6819999999999999,0.6935,1091.483461945592,239.33325
Jordan,60.0,46.1421568627451,93.2516,67.0997318325,63.800000000000004,72.791350972977,81.742809367933,78.06,70.0,60.0,5.970000000000001,14.0,15.5,15.225000000000001,33.07625,6.46725,2.9025,4.386,1607.711267605642,81.61075
Kazakhstan,30.0,26.931372549019606,93.06935112760775,85.55760317,73.05,86.20230517255719,73.79623526913204,78.2,37.5,50.0,3.4,10.0,20.0,13.879225,21.928,16.98425,5.69875,6.49925,11558.289406770227,12.964
Kenya,30.0,23.75,78.21497500000001,75.25372559249999,52.575,61.78630885699618,73.75849128256614,67.285,52.5,50.0,8.87,30.0,30.0,19.425,28.65925,42.573,5.13375,8.999,524.31119574025,49.04575
"Korea, South",71.25,54.509803921568626,72.97825,70.74207039955982,91.8,49.55868449261199,80.42239668981838,73.095,70.0,77.5,8.4525,38.25,24.2,25.5195,31.19971332200952,49.915,2.93675,2.1975,9171.025,35.04825
Kuwait,47.5,44.166666666666664,98.2609,58.979482232500004,59.35,63.322534648933896,73.25277126486831,76.735,55.0,50.0,4.1325,0.0,11.25,1.05,36.95375,3.839,3.8505000000000003,3.33175,1266.13689231332,6.7635
Kyrgyz Republic,20.0,22.78921568627451,94.169375,56.5328853925,71.6,84.44737153738942,70.65971632838361,76.44,57.5,50.0,2.405,10.0,10.0,19.543142500000002,38.0405,5.616,4.73,8.37575,508.45655,50.533
